analysis	gene	group	n_cells	mean_log_norm	detection_fraction
ibd_uc_myeloid	CXCL8	case	1161	2.0989405823677916	0.537467700258398
ibd_uc_myeloid	CXCL8	control	677	0.5602229276195652	0.1831610044313146
ibd_uc_myeloid	CXCR4	case	1161	0.9855461328701977	0.4401378122308355
ibd_uc_myeloid	CXCR4	control	677	0.3450158930279707	0.1964549483013294
ibd_uc_myeloid	FABP5	case	1161	0.4827583161008433	0.27734711455641686
ibd_uc_myeloid	FABP5	control	677	0.24056478992823152	0.1536189069423929
ibd_uc_myeloid	GBP1	case	1161	0.8124846978742346	0.4099913867355728
ibd_uc_myeloid	GBP1	control	677	0.1112493499598043	0.08567208271787297
ibd_uc_myeloid	GPNMB	case	1161	0.11124985255737438	0.06804478897502153
ibd_uc_myeloid	GPNMB	control	677	0.5542085346606584	0.2363367799113737
ibd_uc_myeloid	HIF1A	case	1161	1.2433428254505212	0.6192937123169682
ibd_uc_myeloid	HIF1A	control	677	0.49628384300135786	0.32644017725258495
ibd_uc_myeloid	HK2	case	1161	0.18977782684630393	0.1515934539190353
ibd_uc_myeloid	HK2	control	677	0.05118185010182356	0.047267355982274745
ibd_uc_myeloid	HLA-DPA1	case	1161	2.060687169550246	0.6451335055986219
ibd_uc_myeloid	HLA-DPA1	control	677	1.8250187334610062	0.5243722304283605
ibd_uc_myeloid	HLA-DPB1	case	1161	1.9530925879071128	0.6313522825150732
ibd_uc_myeloid	HLA-DPB1	control	677	1.7801300701544278	0.5096011816838996
ibd_uc_myeloid	HLA-DRA	case	1161	2.8232749616291843	0.6683893195521102
ibd_uc_myeloid	HLA-DRA	control	677	2.142981738883506	0.5140324963072378
ibd_uc_myeloid	HLA-DRB1	case	1161	2.28829904582852	0.6683893195521102
ibd_uc_myeloid	HLA-DRB1	control	677	1.7869366888295912	0.4977843426883309
ibd_uc_myeloid	IFI30	case	1161	0.5168553844819654	0.3273040482342808
ibd_uc_myeloid	IFI30	control	677	0.19222953503166754	0.15214180206794684
ibd_uc_myeloid	IL1B	case	1161	1.9344617696148227	0.5417743324720069
ibd_uc_myeloid	IL1B	control	677	0.46108390256294085	0.1935007385524372
ibd_uc_myeloid	IRF1	case	1161	0.7591285405250915	0.3962101636520241
ibd_uc_myeloid	IRF1	control	677	0.5106466085052094	0.31610044313146235
