disease	dataset	modality	compartment	gene	metric	n_case	n_control	delta	hedges_g	p	fdr	support_level	support_score
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	LPL	donor_mean_z_score	6	6	0.0074127431721671	0.532938710021193	0.3632174676491227	0.6697088274008902	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	LPL	donor_mean_z_score	11	14	0.0475198838495076	0.3808733857280309	0.3445223893893162	0.6538120058436172	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	LPL	donor_mean_z_score	9	13	-0.0241564948637781	-0.0669000139124314	0.8847375893125953	0.9493843510271576	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	LPL	donor_mean_z_score	3	3	0.0039446702497733	0.0567930035367878	0.9367783602082134	0.9748587813548888	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	LPL	donor_mean_z_score	3	3	-0.1231656529176921	-3.7044725295636622	0.0157779954179735	0.2115464453984163	negative_trend	-1.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	LPL	donor_mean_z_score	18	18	0.0122002054293998	0.2520274486585749	0.4462834625129446	0.7035010246509472	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	LPL	donor_mean_z_score	3	19	0.1022505488637569	0.9840162913476164	0.5158444292092934	0.7460800784044017	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	LPL	donor_mean_z_score	5	18	-0.0140181625483006	-0.1417991607510693	0.6151337987725272	0.808389386477243	null_or_negative	0.0
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	LPL	donor_mean_z_score	5	19	-0.0240042724890355	-0.1462901822995242	0.5908759337158156	0.8033247981503158	null_or_negative	0.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	LPL	donor_mean_z_score	6	6	0.4578788884401041	0.6828575089785541	0.2562160578425944	0.5889070319994217	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	LPL	donor_mean_z_score	6	6	0.0057786498247102	1.0073530703988074	0.1173320700680456	0.4378572877174881	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	MERTK	donor_mean_z_score	6	6	-0.0264879494670765	-0.537545869722153	0.337017207072701	0.6538120058436172	null_or_negative	0.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	MERTK	donor_mean_z_score	6	6	-0.0888665189006599	-0.5130424664882474	0.367443730301993	0.6709386230906579	null_or_negative	0.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	MERTK	log2_expression	10	11	0.2471109034794576	0.34078643587681	0.4292940108131474	0.6055779837409737	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	MERTK	donor_mean_z_score	11	14	-0.0093127948038575	-0.0996409033286715	0.8027489483473692	0.9053027787529804	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	MERTK	donor_mean_z_score	9	13	-0.2497225448193763	-1.0546148863083664	0.0107791789301581	0.2115464453984163	negative_trend	-1.0
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	MERTK	donor_mean_z_score	3	3	0.1034086363630419	0.3010787163673467	0.6900786197742778	0.8476973448282874	positive_null	0.25
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	MERTK	donor_mean_z_score	3	3	-0.0327770702002206	-0.3219753989542059	0.6492244786732596	0.8275351338681973	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	MERTK	donor_mean_z_score	18	18	0.0051125250923455	0.1137499706488171	0.7295392054008916	0.875994543070489	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	MERTK	donor_mean_z_score	3	19	0.0281527272679387	0.3190859642947888	0.7422819213781359	0.8835713155663963	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	MERTK	donor_mean_z_score	5	18	-0.037014822005924	-0.4530541796674223	0.2396233417467618	0.5754556799922236	null_or_negative	0.0
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	MERTK	donor_mean_z_score	5	19	-0.0548405159615728	-0.5240375564169595	0.1114008787630637	0.4362298680148599	null_or_negative	0.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	MERTK	donor_mean_z_score	6	6	0.0008269992355231	0.0047817714989436	0.9930899018412108	1.0	positive_null	0.25
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	MERTK	donor_mean_z_score	6	6	-0.0669308729879264	-1.86144382389392	0.0172768717681772	0.2115464453984163	negative_trend	-1.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	MIF	log2_expression	10	11	0.1623622066627277	0.1747768661927977	0.6848691966813713	0.8609784186851525	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	MSR1	donor_mean_z_score	6	6	-0.0081720426266747	-0.5329387100211932	0.3632174676491225	0.6697088274008902	null_or_negative	0.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	MSR1	donor_mean_z_score	6	6	-0.1800458225333628	-0.6675098133398323	0.2437911702238166	0.5778753664564542	null_or_negative	0.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	MSR1	log2_expression	10	11	0.5659305923555848	1.0246413650870072	0.0313140694878595	0.2084781797654941	trend	1.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	MSR1	donor_mean_z_score	11	14	0.0057096847837705	0.5303947309445786	0.2386169277149191	0.5741159163065723	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	MSR1	donor_mean_z_score	9	13	-0.2447401002619575	-0.8651192031358647	0.0606509120474507	0.335704974199654	negative_trend	-1.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	MSR1	donor_mean_z_score	3	3	-0.0204137709227295	-0.4916678359354273	0.4979344434786115	0.7360750987373887	null_or_negative	0.0
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	MSR1	donor_mean_z_score	3	3	-0.3341156003009609	-4.466841526565565	0.0049152119504795	0.2115464453984163	negative_trend	-1.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	MSR1	donor_mean_z_score	18	18	0.0461805399469611	0.2529986340874981	0.4429706186134766	0.7032857374264625	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	MSR1	donor_mean_z_score	3	19	0.1212779127400628	1.1947715089171107	0.4991509263312917	0.7360750987373887	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	MSR1	donor_mean_z_score	5	19	0.0003857782223804	1.6531058430988952	0.1779179849491462	0.525745619195369	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	MSR1	donor_mean_z_score	5	18	-0.017931620101732	-0.4455009695533964	0.1569516155972754	0.4962906540575431	null_or_negative	0.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	MSR1	donor_mean_z_score	6	6	-0.0081720426266747	-0.5329387100211932	0.3632174676491225	0.6697088274008902	null_or_negative	0.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	MSR1	donor_mean_z_score	6	6	-0.2070787520581785	-0.8593742945537964	0.1563284423237576	0.4962906540575431	null_or_negative	0.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	NAMPT	donor_mean_z_score	6	6	0.3209366796681615	2.1799086087862687	0.0039156592112113	0.2115464453984163	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	NAMPT	donor_mean_z_score	6	6	0.9579435007547698	1.458143552146894	0.0299831734551735	0.2524236222046254	trend	1.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	NAMPT	log2_expression	10	11	-0.2143688948990014	-0.2689486342108687	0.5434156214094958	0.7245541618793278	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	NAMPT	donor_mean_z_score	9	13	-0.0690162246447211	-0.1796658237365887	0.6610776398445846	0.8292524459469693	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	NAMPT	donor_mean_z_score	11	14	-0.1923230822217821	-0.5909535324495284	0.1199431180083271	0.4399059915491654	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	NAMPT	donor_mean_z_score	3	3	0.0517620970183045	0.2272327225755027	0.7512030084368109	0.886277601970864	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	NAMPT	donor_mean_z_score	3	3	0.0410933698844952	0.1497224285670229	0.8375221719039533	0.9257585319836444	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	NAMPT	donor_mean_z_score	18	18	-0.0226266655315691	-0.0740350136860529	0.8216766478749374	0.9168053056841258	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	NAMPT	donor_mean_z_score	5	18	0.509855689027407	1.4032373401374714	0.1456620846294352	0.4820551620872594	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	NAMPT	donor_mean_z_score	3	19	0.1299763712951961	0.4555689076731239	0.6948880781792374	0.8495288825877974	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	NAMPT	donor_mean_z_score	5	19	0.2573660935956807	0.7422714036270275	0.2424839767393221	0.5776525218545336	positive_null	0.25
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	NAMPT	donor_mean_z_score	6	6	0.5220195736563576	1.5941119367162777	0.0272732122879717	0.2464637258512679	trend	1.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	NAMPT	donor_mean_z_score	6	6	1.170725267032706	2.051214925068363	0.0056120423539931	0.2115464453984163	trend	1.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	NFKBIA	donor_mean_z_score	6	6	0.0199070028232823	0.0789970169718836	0.885591536941273	0.9493843510271576	positive_null	0.25
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	NFKBIA	donor_mean_z_score	6	6	0.1891442954226458	0.3650315383047692	0.5146640122856787	0.7452148594181772	positive_null	0.25
MS	GSE111972	sorted_bulk_microglia	white matter microglia	NFKBIA	log2_expression	10	11	0.2903271300158536	0.4388326789978334	0.3094393661733699	0.4992206051031403	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	NFKBIA	donor_mean_z_score	9	13	0.0517301263558783	0.1885850757954859	0.6359541316240991	0.8180336240334876	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	NFKBIA	donor_mean_z_score	11	14	-0.1209732544455239	-0.3589802527720513	0.3576505162600549	0.6697088274008902	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	NFKBIA	donor_mean_z_score	3	3	-0.8063424841364926	-1.6288107114575994	0.1026757863505579	0.4301170923491894	null_or_negative	0.0
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	NFKBIA	donor_mean_z_score	3	3	-0.5236716250440945	-1.2890728212108675	0.140711720511102	0.4774832611111266	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	NFKBIA	donor_mean_z_score	18	18	-0.0500102088874191	-0.1520789665683403	0.6438230574342902	0.823270243272619	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	NFKBIA	donor_mean_z_score	5	18	0.3723260979726386	1.0559936593288242	0.191058684287747	0.5469770882418074	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	NFKBIA	donor_mean_z_score	3	19	0.0817513456685138	0.2963846307748192	0.7809590743224272	0.8954311942382126	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	NFKBIA	donor_mean_z_score	5	19	0.1959927710877844	0.6968744740965306	0.2532611157658563	0.5887131989596894	positive_null	0.25
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	NFKBIA	donor_mean_z_score	6	6	0.0231840325195654	0.0988710024222324	0.8568964993132698	0.9350618236325536	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	NFKBIA	donor_mean_z_score	6	6	0.3007552805126754	0.5646176479514974	0.3210324949984656	0.6503532842003649	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	NLRC5	donor_mean_z_score	6	6	0.2897117825455482	1.1091269312905483	0.0641845117208188	0.3416036210088575	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	NLRC5	donor_mean_z_score	6	6	0.4346435612127688	1.743236039919684	0.0121921845193208	0.2115464453984163	trend	1.0
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	NLRC5	sample_mean_log1p_cpm_gene	3	2	0.0706211993031574	0.9693564073379796	0.1964114550061887	0.2811133221822033	positive_null	0.25
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	NLRC5	sample_mean_log1p_cpm_gene	3	2	0.1937647063784821	3.7157364422595447	0.0148887548200482	0.0507969282095764	supportive	2.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	NLRC5	donor_mean_z_score	11	14	0.0871460945215467	1.0525592140429372	0.0240758544168378	0.2334628307087305	trend	1.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	NLRC5	donor_mean_z_score	9	13	0.0553122633318077	0.3222625836264957	0.4942796000832224	0.7349499982240089	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	NLRC5	donor_mean_z_score	3	3	0.6189889462373477	1.9982204325627864	0.0869248295120403	0.3903992342996898	trend	1.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	NLRC5	donor_mean_z_score	3	3	0.5858437228844696	0.8351014026989578	0.3244282540008909	0.6529373665426735	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	NLRC5	donor_mean_z_score	18	18	-0.0162545078057787	-0.2051090205933667	0.5333905809704734	0.7583231521072034	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	NLRC5	donor_mean_z_score	5	18	0.1179776090193646	0.7096543184644448	0.4512412450014839	0.7060987696844737	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	NLRC5	donor_mean_z_score	3	19	0.0956154390824096	0.5220852182306288	0.4812245969758389	0.7256708609965344	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	NLRC5	donor_mean_z_score	5	19	0.059158924691445	0.522959996073319	0.4332767556632395	0.7010868536847861	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	NLRC5	donor_mean_z_score	6	6	0.3766259953004618	2.0383287292610843	0.0036084717586721	0.2115464453984163	trend	1.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	NLRC5	donor_mean_z_score	6	6	-0.0161592666414623	-0.072945060042536	0.8944571865584783	0.9528547733461054	null_or_negative	0.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	OSM	donor_mean_z_score	6	6	0.4944444560902963	1.3803664604975658	0.038163933610132	0.2720553892923929	trend	1.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	OSM	donor_mean_z_score	6	6	0.1731489831675106	0.8850074477666126	0.1570294647603945	0.4962906540575431	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	OSM	donor_mean_z_score	11	14	0.0083108847117204	0.23956106853271	0.5492325275318012	0.7716988312192158	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	OSM	donor_mean_z_score	9	13	-0.0873714902060018	-0.5800472068047514	0.1491660249566714	0.4883184448709449	null_or_negative	0.0
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	OSM	donor_mean_z_score	3	3	0.0244138439033059	0.1809092512121266	0.7986881269952814	0.905186761804202	positive_null	0.25
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	OSM	donor_mean_z_score	3	3	-0.0325680660900509	-0.8730598394616641	0.2562665756434983	0.5889070319994217	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	OSM	donor_mean_z_score	18	18	-0.0348102955251762	-0.4413442243479609	0.1865211522579972	0.5377186371401722	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	OSM	donor_mean_z_score	5	18	0.1410622629470634	1.3761994537000914	0.227638690659384	0.5702104188728212	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	OSM	donor_mean_z_score	3	19	0.1921189101172834	1.4189867640431986	0.473912080727686	0.7234039934003591	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	OSM	donor_mean_z_score	5	19	0.0718005584871755	0.5343368408493103	0.3368070423069795	0.6538120058436172	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	OSM	donor_mean_z_score	6	6	0.8262733539593345	1.4679463675990156	0.0356868534211279	0.2671296630353439	trend	1.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	OSM	donor_mean_z_score	6	6	0.1483640189794541	0.4937588047575221	0.3965225955008036	0.6823973892149845	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	PFKFB3	donor_mean_z_score	6	6	0.1583872183389443	1.9406040564479348	0.0049827159068673	0.2115464453984163	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	PFKFB3	donor_mean_z_score	6	6	0.6381963863000563	2.019203344689485	0.003644263013498	0.2115464453984163	trend	1.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	PFKFB3	log2_expression	10	11	-0.4547133895238886	-0.612146913331305	0.1560767838593739	0.3433689244906227	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	PFKFB3	donor_mean_z_score	11	14	0.113261151013096	0.3963571759413993	0.3522278396133173	0.6649729125443158	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	PFKFB3	donor_mean_z_score	9	13	-0.1334896257505407	-0.480147111774112	0.2270552476135681	0.5702104188728212	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	PFKFB3	donor_mean_z_score	3	3	0.0790497470419231	0.3164029492736577	0.6667983854971813	0.8330068512170389	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	PFKFB3	donor_mean_z_score	3	3	-0.140827040149806	-0.3974931774687738	0.5837855717983838	0.7995847351374453	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	PFKFB3	donor_mean_z_score	18	18	-0.0042983860846454	-0.0434372153262848	0.8947901855953271	0.9528547733461054	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	PFKFB3	donor_mean_z_score	5	18	0.3410948929246867	1.7006640401089308	0.1410067755468795	0.4774832611111266	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	PFKFB3	donor_mean_z_score	3	19	0.2301377890017478	1.243411105709912	0.1669926055037154	0.5114976226116151	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	PFKFB3	donor_mean_z_score	5	19	0.5007334807584956	0.9209893513631072	0.1873684513675227	0.538947455618942	positive_null	0.25
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	PFKFB3	donor_mean_z_score	6	6	0.1967307670812358	1.1401130344158226	0.0722205333802707	0.3567628069288295	trend	1.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	PFKFB3	donor_mean_z_score	6	6	0.9198723328800124	1.7256691597812783	0.0149771497475606	0.2115464453984163	trend	1.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	PLIN2	donor_mean_z_score	6	6	-0.1028716188138055	-0.9901135975241308	0.1113394181315504	0.4362298680148599	null_or_negative	0.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	PLIN2	donor_mean_z_score	6	6	-0.1229798391459956	-0.4258095001618276	0.4430879702919174	0.7032857374264625	null_or_negative	0.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	PLIN2	log2_expression	10	11	0.6476104028056859	0.7408816807123307	0.1083756467628863	0.3177363070402549	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	PLIN2	donor_mean_z_score	9	13	-0.0876691938087427	-0.3714589272004216	0.3599790286329905	0.6697088274008902	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	PLIN2	donor_mean_z_score	11	14	-0.1043224038440491	-0.4284816222470918	0.2694838003293503	0.6072696506124344	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	PLIN2	donor_mean_z_score	3	3	0.007886356605546	0.0509480416999569	0.9435641398413	0.9790517284076632	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	PLIN2	donor_mean_z_score	3	3	-0.1387841154619494	-0.6797722010364371	0.4065211916489122	0.6873806146771567	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	PLIN2	donor_mean_z_score	18	18	0.1030355808552997	0.5369410188339598	0.1119362049171979	0.4362298680148599	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	PLIN2	donor_mean_z_score	5	18	0.0129227362172542	0.0670411404247434	0.9033309167234912	0.957171832289792	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	PLIN2	donor_mean_z_score	5	19	0.003839248823074	0.007340829982235	0.9859972822808276	1.0	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	PLIN2	donor_mean_z_score	3	19	-0.0071679417704194	-0.0398726830975429	0.9665099180437284	0.9928833829020643	null_or_negative	0.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	PLIN2	donor_mean_z_score	6	6	0.1073722303727692	0.347798009429565	0.5287383052651293	0.7559173349292888	positive_null	0.25
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	PLIN2	donor_mean_z_score	6	6	-0.0500095318576586	-0.4670749441547871	0.4106986269449888	0.6903770570085578	null_or_negative	0.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	RFX5	donor_mean_z_score	6	6	0.0473487426254474	0.8051560298171794	0.1623431513639457	0.5027645172258243	positive_null	0.25
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	RFX5	donor_mean_z_score	6	6	-0.0382139638693364	-0.3215424143380359	0.5612632998547805	0.7816451927757884	null_or_negative	0.0
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	RFX5	sample_mean_log1p_cpm_gene	3	2	0.0340663091616927	0.6869492715020113	0.3081530040015325	0.3504485143546841	positive_null	0.25
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	RFX5	sample_mean_log1p_cpm_gene	3	2	0.1178747910675237	2.1179641297620875	0.0375766580855618	0.114707693103294	trend	1.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	RFX5	donor_mean_z_score	11	14	-0.0339658671928955	-0.4073734841821357	0.3004882443305415	0.6318108940969792	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	RFX5	donor_mean_z_score	9	13	-0.1740958380484219	-1.2683276259313778	0.0056019842378358	0.2115464453984163	negative_trend	-1.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	RFX5	donor_mean_z_score	3	3	0.0763061487782359	2.956658894919987	0.0155937505916598	0.2115464453984163	trend	1.0
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	RFX5	donor_mean_z_score	3	3	0.2591812228125765	1.1066815176885545	0.2098643131628497	0.5548997911703838	positive_null	0.25
