seed	mode	effect	arrival	n_responders	n_nonresponders	mean_p	minimum_p	maximum_mean_e_factor	mean_unique_score_levels
57132	exact_tied	0.0	3	6	6	0.5292998268398269	0.0010822510822510823	0.9681809815885302	4.65414
57132	exact_tied	0.0	4	7	7	0.5244773193473193	0.0002913752913752914	0.9739793438216904	4.77942
57132	exact_tied	0.0	5	8	8	0.5197097948717949	7.77000777000777e-05	0.9786929848944381	4.8604
57132	exact_tied	0.0	6	10	10	0.5128610460282751	4.330035289787612e-05	0.9862598662185821	4.9437
57132	exact_tied	0.0	7	4	5	0.5497625396825397	0.007936507936507936	0.9471266461444556	4.331
57132	exact_tied	0.0	8	5	5	0.5426259523809523	0.003968253968253968	0.9552206454501753	4.46674
57132	exact_tied	0.0	9	6	6	0.5289888095238094	0.0010822510822510823	0.9666497876772704	4.65606
57132	exact_tied	0.0	10	7	7	0.5240615093240093	0.0002913752913752914	0.9743132198467974	4.77908
57132	exact_tied	0.0	11	8	8	0.519150606060606	7.77000777000777e-05	0.9788257583614273	4.85762
57132	exact_tied	0.0	12	10	10	0.5110857614367057	1.6237632336703544e-05	0.9888816713677782	4.94134
57132	exact_tied	0.5	1	4	5	0.36637253968253974	0.007936507936507936	1.2087180320179851	4.27566
57132	exact_tied	0.5	2	5	5	0.34706746031746033	0.003968253968253968	1.3062596017138264	4.3889
57132	exact_tied	0.5	3	6	6	0.31693599567099573	0.0010822510822510823	1.6624534887372528	4.5893
57132	exact_tied	0.5	4	7	7	0.29205570512820517	0.0002913752913752914	2.0942755665270094	4.72478
57132	exact_tied	0.5	5	8	8	0.2706727847707848	7.77000777000777e-05	2.739678581920322	4.80574
57132	exact_tied	0.5	6	10	10	0.24398855582498	5.412544112234515e-06	3.9843035636758235	4.90712
57132	exact_tied	0.5	7	4	5	0.36369746031746036	0.007936507936507936	1.208114479748784	4.27712
57132	exact_tied	0.5	8	5	5	0.3439595238095238	0.003968253968253968	1.318129954451385	4.39542
57132	exact_tied	0.5	9	6	6	0.31485601731601726	0.0010822510822510823	1.6524060209332592	4.58916
57132	exact_tied	0.5	10	7	7	0.2918136363636364	0.0002913752913752914	2.1627882404796046	4.71922
57132	exact_tied	0.5	11	8	8	0.27472468065268063	7.77000777000777e-05	2.732693015967334	4.80986
57132	exact_tied	0.5	12	10	10	0.24311455130009313	5.412544112234515e-06	4.067340813790477	4.91126
57132	exact_tied	0.9	1	4	5	0.24265825396825397	0.007936507936507936	1.7187943549780196	4.16406
57132	exact_tied	0.9	2	5	5	0.2191266666666667	0.003968253968253968	2.2021429402059143	4.25634
57132	exact_tied	0.9	3	6	6	0.18434841991341994	0.0010822510822510823	3.287714514205951	4.46764
57132	exact_tied	0.9	4	7	7	0.15773994172494174	0.0002913752913752914	5.00757379146318	4.61498
57132	exact_tied	0.9	5	8	8	0.13556148096348097	7.77000777000777e-05	7.33059270586673	4.71844
57132	exact_tied	0.9	6	10	10	0.10662351241637617	5.412544112234515e-06	15.694885920074176	4.85034
57132	exact_tied	0.9	7	4	5	0.24443920634920635	0.007936507936507936	1.7108653002016063	4.165
57132	exact_tied	0.9	8	5	5	0.21914888888888887	0.003968253968253968	2.177314727817376	4.26002
57132	exact_tied	0.9	9	6	6	0.18603149350649353	0.0010822510822510823	3.302134132348727	4.46754
57132	exact_tied	0.9	10	7	7	0.1587784090909091	0.0002913752913752914	5.023350595769841	4.6125
57132	exact_tied	0.9	11	8	8	0.1362380947940948	7.77000777000777e-05	7.50073312040431	4.72494
57132	exact_tied	0.9	12	10	10	0.10473895721925135	5.412544112234515e-06	15.993042291715716	4.84914
57132	v42_plus_one_mc_tied	0.0	1	4	5	0.5523689431056895	0.0058994100589941	0.9459843753466272	4.33034
57132	v42_plus_one_mc_tied	0.0	2	5	5	0.5419011638836115	0.0024997500249975004	0.9545597519206419	4.45546
57132	v42_plus_one_mc_tied	0.0	3	6	6	0.5304717368263173	0.0006999300069993001	0.9683156126323837	4.65638
57132	v42_plus_one_mc_tied	0.0	4	7	7	0.525641501849815	0.00029997000299970003	0.9716396063284647	4.77844
